name	media type	episode count	dates aired	rating
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!	Special	1	2003-12-20 00:00:00	6.83
InuYasha Movie 03: Tenka Hadou no Ken	Movie	1	2003-12-20 00:00:00	7.87
Kyutai Panic Adventure Returns!	Special	1	2004	5.04
Detective Conan OVA 04: Conan and Kid and Crystal Mother	OVA	1	2004	7.59
Tetsuwan Atom: Kagayakeru Hoshi - Anata wa Aoku, Utsukushii...	Movie	1	2004-02-07 00:00:00	6.17
One Piece Movie 5: Norowareta Seiken	Movie	1	2004-03-06 00:00:00	7.35
One Piece: Mezase! Kaizoku Yakyuu Ou	Movie	1	2004-03-06 00:00:00	7.13
Kinnikuman II Sei: Ultimate Muscle	TV	13	2004-04-07 00:00:00	6.99
Shin Getter Robo	OVA	13	2004-04-09 00:00:00	7.43
Panda-Z: The Robonimation	TV	30	2004-04-12 00:00:00	6.42
Detective Conan Movie 08: Magician of the Silver Sky	Movie	1	2004-04-17 00:00:00	8.19
Detective Conan Movie 08: Time Travel of the Silver Sky	Special	1	2004-04-30 00:00:00	7.95
Astro Boy: Tetsuwan Atom - Getsumen Kichi - Kieta Robot no Nazo	Movie	1	2004-05-29 00:00:00	6.69
Monkey Punch: Manga Katsudou Daishashin	TV	12	2004-07-04 00:00:00	7.18
Re: Cutey Honey	OVA	3	2004-07-24 00:00:00	7.15
Lupin III: Nusumareta Lupin	Special	1	2004-07-30 00:00:00	7.18
Eyeshield 21: Maboroshi no Golden Bowl	Special	1	2004-08-06 00:00:00	6.74
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!	Movie	1	2004-08-21 00:00:00	7.17
Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undouaki	Special	1	2004-08-21 00:00:00	6.93
Ichigo 100%: Koi ga Hajimaru?! Satsuei Gasshuku - Yureru Kokoro ga Higashi e Nishi e	Special	1	2004-09-23 00:00:00	6.96
Bobobo-bo Bo-bobo Recap	Special	1	2004-10-23 00:00:00	6.39
InuYasha Movie 04: Guren no Houraijima	Movie	1	2004-12-23 00:00:00	7.62
Eyeshield 21: Jump Festa 2005 Special	Special	1	2005	6.85
Tetsuwan Atom to Sagurou! Dosei wo Mawaru Shinpi no Hoshi Titan	Movie	1	2005	6.56
Detective Conan Movie 09: Promo Special	Special	1	2005	7.74
Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation	OVA	1	2005	7.33
Cofun Gal no Coffy	ONA	10	2005	4.65
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Maguro no Notta Keikan	Special	1	2005-01-02 00:00:00	6.71
Gallery Fake	TV	37	2005-01-08 00:00:00	7.56
One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima	Movie	1	2005-03-05 00:00:00	7.73
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryoutsu vs. Nakimushi Aidoru!? Nihon Ikkai Dai-Sug	Special	1	2005-03-27 00:00:00	6.63
Eyeshield 21	TV	145	2005-04-06 00:00:00	8.03
Ichigo 100%	TV	12	2005-04-06 00:00:00	6.76
Detective Conan Movie 09: Strategy Above the Depths	Movie	1	2005-04-09 00:00:00	7.92
Ichigo 100% OVA	OVA	4	2005-06-20 00:00:00	6.97
Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori	Special	1	2005-07-22 00:00:00	7.18
Detective Conan: Conan vs. Kid - Shark & Jewel	Movie	1	2005-07-29 00:00:00	7.74
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!	Movie	1	2005-08-06 00:00:00	6.98
Astro Boy: Tetsuwan Atom - 10-man Kounen no Raihousha - IGZA	Movie	1	2005-09-01 00:00:00	7.12
Monkey Punch: Manga Katsudou Daishashin - Crime Mate Special	Special	1	2005-09-14 00:00:00	6.35
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi	Special	1	2005-09-24 00:00:00	8.11
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san to Chyuuken Rakkii Monogatari - Kameari D	Special	1	2005-10-23 00:00:00	6.74
One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou	Special	1	2005-12-18 00:00:00	7.30
Ichigo 100% Special 2	Special	1	2005-12-18 00:00:00	6.95
